Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Region,Carbon Performance Regional Alignment 2025,Carbon Performance Regional Alignment 2027,Carbon Performance Regional Alignment 2028,Carbon Performance Regional Alignment 2035,Carbon Performance Regional Alignment 2050,Regional Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/11/2021,05/08/2021,OECD,Not Aligned,,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2030;2050,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity for the year 2019 using a boundary that is inconsistent with TPI’s methodology for this sector. We therefore do not include this year in the assessment. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,0.469189618,0.466495486,0.488944359,0.484594367,0.473090896,0.458965342,0.444839788,0.430714234,0.416588679,0.402463125,0.388337571,0.374212017,0.360086463,0.345960908,0.331835354,0.3177098,0.303584246,0.288405034,0.273225821,0.258046609,0.242867397,0.227688184,0.212508972,0.19732976,0.182150548,0.166971335,0.151792123,0.136612911,0.121433698,0.106254486,0.091075274,0.075896061,0.060716849,0.045537637,0.030358425,0.015179212,0.0
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/11/2023,04/07/2023,OECD,Not Aligned,,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.5755477,0.580294518,0.549079116,0.553476559,0.534391161,0.515305762,0.496220364,0.477134965,0.458049566,0.438964168,0.419878769,0.400793371,0.381707972,0.362622573,0.343537175,0.324451776,0.305366378,0.286280979,0.26719558,0.248110182,0.229024783,0.209939385,0.190853986,0.171768587,0.152683189,0.13359779,0.114512392,0.095426993,0.076341594,0.057256196,0.038170797,0.019085399,0.0
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/09/2022,22/07/2022,OECD,Not Aligned,,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.58,0.58,0.55,0.53,0.51,0.49,0.48,0.46,0.44,0.42,0.4,0.38,0.37,0.35,0.33,0.31,0.29,0.27,0.26,0.24,0.22,0.2,0.18,0.16,0.15,0.13,0.11,0.09,0.07,0.05,0.04,0.02,0.0
Chugoku,Japan,JPN,Electricity Utilities,No,medium,JP3522200009,6195900,01/11/2021,05/08/2021,OECD,Not Aligned,,,Not Aligned,Not Aligned,OECD_Electricity Utilities_01/04/2022,2029,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,,,0.5755477,0.580294518,0.559265066,0.538235614,0.517206162,0.496176711,0.475147259,0.454117807,0.433088355,0.412058904,0.391029452,0.37,,,,,,,,,,,,,,,,,,,,,
Cia Paranaense de Energia,Brazil,BRA,Electricity Utilities,No,small,BRCPLEACNOR8,2192831,01/09/2024,06/08/2024,non-OECD,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,non-OECD_Electricity Utilities_01/05/2024,2030,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Clearway Energy,United States of America,USA,Electricity Utilities,No,small,US18539C2044,BGJRH57,01/09/2024,06/08/2024,North-America,,1.5 Degrees,,Below 2 Degrees,National Pledges,North-America_Electricity Utilities_01/05/2024,2050,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,0.14,0.1,0.09,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/09/2024,06/08/2024,North-America,,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,North-America_Electricity Utilities_01/05/2024,2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.21,0.19,0.16,0.13,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.0,,,,,,,,,,
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/11/2023,04/07/2023,North-America,1.5 Degrees,,,Below 2 Degrees,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2040,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.210581179,0.186827764,0.15898607,0.131144375,0.136074808,0.133020503,0.126019424,0.119018344,0.112017265,0.105016186,0.098015107,0.091014028,0.084012949,0.07701187,0.070010791,0.063009712,0.056008633,0.049007554,0.042006475,0.035005395,0.028004316,0.021003237,0.014002158,0.007001079,0.0,,,,,,,,,,
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/09/2022,22/07/2022,North-America,National Pledges,,,National Pledges,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2040,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.28,0.27,0.28,0.27,0.27,0.26,0.25,0.23,0.22,0.2,0.19,0.18,0.16,0.15,0.14,0.12,0.11,0.1,0.08,0.07,0.05,0.04,0.03,0.01,0.0,,,,,,,,,,
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/11/2021,05/08/2021,North-America,National Pledges,,,National Pledges,Below 2 Degrees,North-America_Electricity Utilities_01/04/2022,2040,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,0.35695461,0.304431874,0.282037565,0.273374107,0.260356293,0.247338478,0.234320664,0.221302849,0.208285034,0.19526722,0.182249405,0.16923159,0.156213776,0.143195961,0.130178146,0.117160332,0.104142517,0.091124702,0.078106888,0.065089073,0.052071259,0.039053444,0.026035629,0.013017815,0.0,,,,,,,,,,
Constellation,United States of America,USA,Electricity Utilities,Yes,medium,US21037T1097,BMH4FS1,01/10/2024,09/06/2024,North-America,,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,North-America_Electricity Utilities_01/05/2024,2030;2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,,,,0.042035358,0.04337,0.038171839,0.032973678,0.027775516,0.022577355,0.017379194,0.012181033,0.006982872,0.00178471,0.001606239,0.001427768,0.001249297,0.001070826,0.000892355,0.000713884,0.000535413,0.000356942,0.000178471,0.0,,,,,,,,,,
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/09/2024,06/08/2024,North-America,,Not Aligned,,National Pledges,National Pledges,North-America_Electricity Utilities_01/05/2024,2028;2032;2040;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.7,0.68,0.73,0.69,0.65,0.65,0.61,0.56,0.51,0.46,0.41,0.36,0.31,0.26,0.22,0.17,0.12,0.12,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.0
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2023,04/07/2023,North-America,Not Aligned,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2023;2028;2035;2040;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.695,0.682,0.729,0.686,0.65,0.654,0.648226249,0.642452497,0.579137713,0.515822929,0.452508145,0.389193361,0.325878577,0.298657628,0.271436679,0.24421573,0.216994781,0.189773833,0.162552884,0.135331935,0.12587773,0.116423525,0.10696932,0.097515115,0.08806091,0.079254819,0.070448728,0.061642637,0.052836546,0.044030455,0.035224364,0.026418273,0.017612182,0.008806091,0.0
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/09/2022,22/07/2022,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2023;2030;2040;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set a target to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.7,0.68,0.73,0.69,0.65,0.7,0.75,0.8,0.76,0.73,0.7,0.67,0.64,0.6,0.57,0.54,0.5,0.47,0.43,0.4,0.36,0.32,0.29,0.25,0.22,0.2,0.17,0.15,0.13,0.11,0.09,0.07,0.04,0.02,0.0
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2023;2030;2040;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,0.695,0.682,0.729,0.686,0.69934992,0.71269984,0.726049761,0.739399681,0.709804931,0.680210182,0.650615432,0.621020683,0.591425933,0.561831184,0.532236434,0.499236268,0.466236102,0.433235936,0.400235769,0.367235603,0.334235437,0.301235271,0.268235104,0.235234938,0.202234772,0.182011295,0.161787818,0.14156434,0.121340863,0.101117386,0.080893909,0.060670432,0.040446954,0.020223477,0.0
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/10/2024,09/06/2024,North-America,,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/05/2024,2030;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.359,0.348,0.343,0.296,0.274,0.269,0.272,0.271,0.272,0.2648271,0.257654201,0.250481301,0.243308402,0.236135502,0.228962602,0.221789703,0.214616803,0.203885963,0.193155123,0.182424283,0.171693443,0.160962602,0.150231762,0.139500922,0.128770082,0.118039242,0.107308402,0.096577561,0.085846721,0.075115881,0.064385041,0.053654201,0.042923361,0.03219252,0.02146168,0.01073084,0.0
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2023,04/07/2023,North-America,Not Aligned,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.359,0.348,0.343,0.296,0.274,0.269,0.272,0.271,0.264845511,0.258691023,0.252536534,0.246382046,0.240227557,0.234073069,0.22791858,0.221764092,0.215609603,0.204829123,0.194048643,0.183268163,0.172487683,0.161707203,0.150926722,0.140146242,0.129365762,0.118585282,0.107804802,0.097024322,0.086243841,0.075463361,0.064682881,0.053902401,0.043121921,0.032341441,0.02156096,0.01078048,0.0
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/09/2022,22/07/2022,North-America,National Pledges,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2030,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,0.33,0.31,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.0
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/11/2021,05/08/2021,North-America,National Pledges,,,National Pledges,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,,0.331,0.312,0.269,0.264350888,0.259701775,0.255052663,0.25040355,0.245754438,0.241105326,0.236456213,0.231807101,0.227157988,0.222508876,0.217859763,0.206966775,0.196073787,0.185180799,0.174287811,0.163394823,0.152501834,0.141608846,0.130715858,0.11982287,0.108929882,0.098036894,0.087143905,0.076250917,0.065357929,0.054464941,0.043571953,0.032678965,0.021785976,0.010892988,0.0
Drax Group,United Kingdom,GBR,Electricity Utilities,No,small,GB00B1VNSX38,B1VNSX3,01/09/2024,06/08/2024,OECD,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,OECD_Electricity Utilities_01/05/2024,2030,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.78,0.62,0.49,0.32,0.31,0.23,0.11,0.1,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Dubai Electricity and Water Authority,United Arab Emirates,ARE,Electricity Utilities,No,large,AED001801011,BJLTVJ4,01/09/2024,06/08/2024,non-OECD,,National Pledges,,Not Aligned,Not Aligned,non-OECD_Electricity Utilities_01/05/2024,,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.44,0.43,0.42,0.44,0.43,0.43,0.42,0.4,0.43,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/10/2024,09/06/2024,North-America,,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/05/2024,2030;2040;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.476276876,0.476276876,0.453597024,0.439989114,0.435453143,0.426381203,0.390093441,0.353805679,0.36,0.354,0.34667667,0.339353341,0.332030011,0.324706681,0.317383352,0.310060022,0.302736692,0.295413363,0.275610906,0.25580845,0.236005993,0.216203536,0.19640108,0.176598623,0.156796167,0.13699371,0.117191253,0.097388797,0.087649917,0.077911037,0.068172158,0.058433278,0.048694398,0.038955519,0.029216639,0.019477759,0.00973888,0.0
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2023,04/07/2023,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2040;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.476276876,0.476276876,0.453597024,0.439989114,0.435453143,0.426381203,0.390093441,0.353805679,0.36,0.354830403,0.349660806,0.344491209,0.339321612,0.334152015,0.328982418,0.323812821,0.318643224,0.313473626,0.29406471,0.274655794,0.255246877,0.235837961,0.216429044,0.197020128,0.177611212,0.158202295,0.138793379,0.119384462,0.107446016,0.09550757,0.083569124,0.071630677,0.059692231,0.047753785,0.035815339,0.023876892,0.011938446,0.0
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/09/2022,22/07/2022,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensity, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.48,0.45,0.44,0.44,0.43,0.39,0.35,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.29,0.27,0.26,0.24,0.22,0.21,0.19,0.18,0.16,0.14,0.13,0.11,0.1,0.08,0.06,0.05,0.03,0.02,0.0
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/11/2021,05/08/2021,North-America,Not Aligned,,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.476276876,0.476276876,0.453597024,0.439989114,0.435453143,0.426381203,0.390093441,0.353805679,0.350567036,0.347328393,0.344089749,0.340851106,0.337612463,0.33437382,0.331135176,0.327896533,0.32465789,0.321419247,0.305348284,0.289277322,0.27320636,0.257135397,0.241064435,0.224993473,0.20892251,0.192851548,0.176780586,0.160709623,0.144638661,0.128567699,0.112496736,0.096425774,0.080354812,0.064283849,0.048212887,0.032141925,0.016070962,0.0
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/10/2024,09/06/2024,OECD,,1.5 Degrees,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/05/2024,2040,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has disclosed a Scope 1 and 2 target. However, TPI cannot accept the 2030 target as E. ON also operates a natural gas business that may have significant Scope 1 non-electricity emissions. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.450826121,0.445167286,0.408969549,0.045454545,0.05075,0.05664488,0.047073171,0.064084507,0.136,0.118,0.109,0.102588235,0.096176471,0.089764706,0.083352941,0.076941176,0.070529412,0.064117647,0.057705882,0.051294118,0.044882353,0.038470588,0.032058824,0.025647059,0.019235294,0.012823529,0.006411765,0.0,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2023,04/07/2023,OECD,National Pledges,,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2040,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has disclosed a Scope 1 and 2 target. However, TPI cannot accept the 2030 target as E.ON also operates a natural gas business that may have significant Scope 1 non-electricity emissions When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.450826121,0.445167286,0.408969549,0.045454545,0.05075,0.05664488,0.047073171,0.064084507,0.071147541,0.218390805,0.206257982,0.19412516,0.181992337,0.169859515,0.157726692,0.14559387,0.133461047,0.121328225,0.109195402,0.09706258,0.084929757,0.072796935,0.060664112,0.04853129,0.036398467,0.024265645,0.012132822,0.0,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/09/2022,22/07/2022,OECD,1.5 Degrees,,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2040,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.45,0.41,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.0,0.0,,,,,,,,,,
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904;4943190,01/11/2021,05/08/2021,OECD,1.5 Degrees,,,Below 2 Degrees,Below 2 Degrees,OECD_Electricity Utilities_01/04/2022,2040,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.450826121,0.445167286,0.408969549,0.045454545,0.05075,0.05664488,0.047073171,0.064084507,0.060880282,0.057676056,0.054471831,0.051267606,0.04806338,0.044859155,0.04165493,0.038450704,0.035246479,0.032042254,0.028838028,0.025633803,0.022429577,0.019225352,0.016021127,0.012816901,0.009612676,0.006408451,0.003204225,0.0,,,,,,,,,,
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/10/2024,09/06/2024,Europe,,1.5 Degrees,,Below 2 Degrees,National Pledges,Europe_Electricity Utilities_01/05/2024,2025;2030;2035;2050,2023,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.123,0.102,0.095,0.077,0.082,0.057,0.055,0.051,0.048,0.05,0.037,0.039532804,0.042065607,0.039652486,0.037239364,0.034826243,0.032413121,0.03,0.0284,0.0268,0.0252,0.0236,0.022,0.020533333,0.019066667,0.0176,0.016133333,0.014666667,0.0132,0.011733333,0.010266667,0.0088,0.007333333,0.005866667,0.0044,0.002933333,0.001466667,0.0
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/11/2023,04/07/2023,Europe,1.5 Degrees,,,Below 2 Degrees,National Pledges,Europe_Electricity Utilities_01/04/2022,2023;2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensities, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.123,0.102,0.095,0.077,0.082,0.057,0.055,0.051,0.048,0.051493721,0.054987441,0.053583859,0.052180277,0.050776694,0.049373112,0.04796953,0.046565948,0.045162365,0.042904247,0.040646129,0.038388011,0.036129892,0.033871774,0.031613656,0.029355538,0.027097419,0.024839301,0.022581183,0.020323064,0.018064946,0.015806828,0.01354871,0.011290591,0.009032473,0.006774355,0.004516237,0.002258118,0.0
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/09/2022,22/07/2022,Europe,1.5 Degrees,,,Below 2 Degrees,National Pledges,Europe_Electricity Utilities_01/04/2022,2023;2030;2050,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company's targeted emissions intensities, TPI assumes that the company's electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA's 2020 World Energy Outlook's Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.1,0.1,0.08,0.08,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0
