Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Cathay Pacific Airways,Hong Kong,HKG,Airlines,No,large,HK0293001514,6179755,01/12/2024,23/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,International Pledges,Not Aligned,,1.5 Degrees,,,International Pledges,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,790.0,769.0,768.0,748.0,733.0,748.0,691.0,647.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The carbon intensity has been calculated according to TPI methodology. The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Celanese,United States of America,USA,Chemicals,No,medium,US1508701034,B05MZT4,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellnex Telecom,Spain,ESP,Telecommunications,No,large,ES0105066007,BX90C05,01/12/2024,29/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celltrion,South Korea,KOR,Health Care,No,large,KR7068270008,B0C5YV1,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cementos Argos,Colombia,COL,Cement,No,large,COD38PA00046,B89Z692,01/12/2024,25/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,01/08/2024,16/07/2024,Cement_01/04/2022,,National Pledges,,National Pledges,Not Aligned,2030,,,,,,,2023,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,0.633,0.628,0.632,0.618,0.616,0.628,0.634,0.635,0.637,0.609,0.596714286,0.584428571,0.572142857,0.559857143,0.547571429,0.535285714,0.523,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Cementos Chihuahua,Mexico,MEX,Cement,No,medium,MX01GC2M0006,2946663,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/08/2024,16/07/2024,Cement_01/04/2022,,Not Aligned,,Below 2 Degrees,1.5 Degrees,2030;2050,Not Aligned,,,Below 2 Degrees,1.5 Degrees,2027;2030;2050,2023,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,0.747,0.743,0.738,0.747,0.7439,0.734,0.7441,0.7317,0.6974,0.672624987,0.647849974,0.623074961,0.598299947,0.573524934,0.548749921,0.523974908,0.497776163,0.471577417,0.445378672,0.419179926,0.392981181,0.366782436,0.34058369,0.314384945,0.288186199,0.261987454,0.235788709,0.209589963,0.183391218,0.157192472,0.130993727,0.104794982,0.078596236,0.052397491,0.026198745,0.0,"The company discloses emissions intensity targets using an emissions measure figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity target has been recalculated according to TPI’s methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Cemex,Mexico,MEX,Cement,Yes,large,MXP225611567;US1512908898,2406457;2488671,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,01/10/2024,09/06/2024,Cement_01/10/2024,,Below 2 Degrees,,Below 2 Degrees,1.5 Degrees,2025;2030;2050,Below 2 Degrees,,,Below 2 Degrees,1.5 Degrees,2025;2030;2050,2022,Carbon intensity (tonnes of CO2 per tonne of cementitious product),0.607,0.613,0.63,0.642,0.636,0.63,0.622,0.62,0.591,0.562,0.548,0.534,0.52,0.502,0.484,0.466,0.448,0.43,0.4085,0.387,0.3655,0.344,0.3225,0.301,0.2795,0.258,0.2365,0.215,0.1935,0.172,0.1505,0.129,0.1075,0.086,0.0645,0.043,0.0215,0.0,"Cemex has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Cencora,United States of America,USA,Consumer Services,No,medium,US03073E1055,2795393,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cencosud,Chile,CHL,Consumer Services,No,large,CL0000000100,B00R3L2,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenovus Energy,Canada,CAN,Oil & Gas,No,medium,CA15135U1093,B57FG04,01/12/2024,11/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,01/09/2024,06/08/2024,Oil & Gas_01/11/2023,,Not Aligned,,Not Aligned,Not Aligned,2035;2050,Not Aligned,,,Not Aligned,Not Aligned,2035;2050,2022,Emissions intensity (gCO2e / MJ),,,,,,,109.29,113.56,86.43,85.94,85.5,85.05,84.6,84.16,83.71,83.27,82.82,82.38,81.93,81.48,81.04,80.59,80.15,79.28,78.41,77.54,76.67,75.8,74.93,74.06,73.19,72.32,71.45,70.58,69.71,68.84,67.97,67.1,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Centene Corp,United States of America,USA,Health Care,No,medium,US15135B1017,2807061,01/12/2024,22/02/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not Applicable,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CenterPoint Energy,United States of America,USA,Electricity Utilities,No,medium,US15189T1079,2440637,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,Not Aligned,,1.5 Degrees,1.5 Degrees,2026;2035,Not Aligned,,,1.5 Degrees,1.5 Degrees,2035,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,1.04,1.12,1.31,1.15,1.08,0.9,0.82,0.75,0.67,0.59,0.53,0.46,0.39,0.33,0.26,0.2,0.13,0.07,0.0,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Centrais Eletricas Brasileiras,Brazil,BRA,Electricity Utilities,No,small,BRELETACNOR6,2311120,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,1.5 Degrees,,1.5 Degrees,1.5 Degrees,2025;2030,,,,,,,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.55,0.56,0.55,0.46,0.4,0.29,0.36,0.27,0.37,0.34,0.33,0.32,0.32,0.25,0.19,0.13,0.06,0.0,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Central Japan Railway,Japan,JPN,Consumer Services,No,large,JP3566800003,6183552,01/12/2024,27/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Pattana,Thailand,THA,Financials,No,large,TH0481B10Z00,B6SR7L4,01/12/2024,04/05/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Retail,Thailand,THA,Consumer Services,No,large,TH9597010007,BKP8ZP8,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrica,United Kingdom,GBR,Oil & Gas Distribution,Yes,medium,GB00B033F229,B033F22,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century Aluminium,United States of America,USA,Aluminium,No,small,US1564311082,2186254,01/12/2024,04/05/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,1.5 Degrees,,Below 2 Degrees,1.5 Degrees,2050,,,,,,,2022,Carbon intensity (tCO2e / t aluminium),,,,,,,6.391086957,7.017057935,6.926686224,6.27,6.046071429,5.822142857,5.598214286,5.374285714,5.150357143,4.926428571,4.7025,4.478571429,4.254642857,4.030714286,3.806785714,3.582857143,3.358928571,3.135,2.911071429,2.687142857,2.463214286,2.239285714,2.015357143,1.791428571,1.5675,1.343571429,1.119642857,0.895714286,0.671785714,0.447857143,0.223928571,0.0,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Century Iron & Steel,Taiwan,TWN,Steel,No,small,TW0009958009,B1LJ5C9,01/12/2024,19/03/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Not Applicable,No,No,No,No,Yes,No,No,01/08/2024,16/07/2024,Steel_01/04/2022,,Not Assessed,,Not Assessed,Not Assessed,,,,,,,,2022,Carbon intensity (tonnes of CO2 per tonne of steel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities lie outside the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Chalco,China,CHN,Aluminium,No,large,CNE1000001T8;CNE1000000T0,6425395;B1WLHY0;BP3R4D3,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,Not Aligned,,Not Aligned,Not Aligned,,Not Aligned,,,Not Aligned,Not Aligned,,2022,Carbon intensity (tCO2e / t aluminium),,,,,,17.55,17.16,16.31,15.77,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. However, without a base year value nor the scope of emissions covered disclosed, TPI could not incorporate the target into our assessment. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
ChampionX Corporation,United States of America,USA,Oil & Gas (Other),No,small,US15872M1045,BMW7N69,01/12/2024,18/03/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles River Laboratories,United States of America,USA,Health Care,No,medium,US1598641074,2604336,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charoen Pokphand Foods PCL,Thailand,THA,Food Producers,No,large,TH0101A10Z01,B4V9B00,01/12/2024,04/05/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter Communications,United States of America,USA,Consumer Services,No,large,US16119P1084,BZ6VT82,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemed,United States of America,USA,Health Care,No,small,US16359R1032,2190084,01/12/2024,30/04/2024,0,new,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemours Company,United States of America,USA,Chemicals,No,small,US1638511089,BZ0CTP8,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng Loong,Taiwan,TWN,Paper,No,small,TW0001904001,6190239,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,01/08/2024,03/06/2024,Paper_01/02/2021,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Cheniere Energy,United States of America,USA,Oil & Gas Distribution,No,medium,US16411R2085,2654364,01/12/2024,28/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheniere Energy Partners,United States of America,USA,Oil & Gas Distribution,No,large,US16411Q1013,B1VNH36,01/12/2024,02/01/2024,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake Energy,United States of America,USA,Oil & Gas,No,small,US1651677353,BMZ5LZ5,01/12/2024,19/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevron,United States of America,USA,Oil & Gas,Yes,large,US1667641005,2838555,01/12/2024,17/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,01/10/2024,09/06/2024,Oil & Gas_01/10/2024,,Not Aligned,,Not Aligned,Not Aligned,2050,Not Aligned,,,Not Aligned,Not Aligned,,2023,Emissions intensity (gCO2e / MJ),,72.77989226,72.78038312,72.72482664,72.18170277,71.97755866,70.68514901,70.29931347,70.68869119,69.17572272,68.59850726,68.38789061,68.17727396,67.96665732,67.75604067,67.54542402,67.33480738,67.12419073,66.91357408,66.70295744,66.49234079,66.28172414,66.0711075,65.86049085,65.6498742,65.43925756,65.22864091,65.01802426,64.80740762,64.59679097,64.38617432,64.17555768,63.96494103,63.75432438,63.54370774,63.33309109,63.12247444,62.9118578,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Chia Hsin Cement,Taiwan,TWN,Cement,No,small,TW0001103000,6190626,01/12/2024,10/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/08/2024,16/07/2024,Cement_01/04/2022,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data which TPI can use to estimate current or future Carbon Performance. The company has set one or more targets to reduce its absolute emissions, but they could not be included in this assessment. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Airlines,China,CHN,Airlines,No,large,TW0002610003,6189657,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,1.5 Degrees,,Not Aligned,Not Aligned,,1.5 Degrees,,,Not Aligned,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,,776.9480981,807.7951354,769.6519568,757.4614039,775.3480401,816.0499477,770.6508598,793.0902608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its net emissions, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology (which excludes offsets in the aviation sector).  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Baoan Group,China,CHN,Industrials,No,medium,CNE000000222,6803098,01/12/2024,02/08/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China CSSC Holdings,China,CHN,Industrials,No,large,CNE000000W05,6112910,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Citic Bank,China,CHN,Financials,No,large,CNE1000000R4,B1VXHG9,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Coal,China,CHN,Coal Mining,No,large,CNE100000528;CNE100000957,B1JNK84;B2NWDF2;BP3R3P8,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Construction Bank (H),China,CHN,Financials,No,large,CNE1000002H1,B0LMTQ3,01/12/2024,16/02/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Eastern Airlines,China,CHN,Airlines,No,large,CNE1000002K5;CNE000000TR0,6171375;6085261;BP3R5X0,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Not Applicable,No,No,No,No,No,No,No,01/02/2024,24/11/2023,Airlines_01/02/2022,,Not Aligned,,Not Aligned,Not Aligned,,Not Aligned,,,Not Aligned,Not Aligned,,2022,Carbon intensity (gCO2 / RTK),,878.6410401,885.8303212,1009.498956,976.5369729,960.9054491,940.9155198,1116.938024,1146.10427,1164.713408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The carbon intensity has been calculated according to TPI methodology. The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China Energy Engineering,China,CHN,Cement,No,large,CNE100004QL0,BMJ12Z6,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Everbright Bank,China,CHN,Financials,No,large,CNE100000SL4,B53SCQ5,01/12/2024,30/04/2024,1,new,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Feihe,China,CHN,Food Producers,No,large,KYG2121Q1055,BK0SBL1,01/12/2024,30/04/2024,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,,,,,,,,Carbon intensity (tCO2e/tonnes agricultural input),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on Scope 3 emissions nor used agricultural inputs which TPI can use to estimate historical or future Carbon Performance. The company has set one or more targets to reduce its emissions intensity, but they could not be included in this assessment."
China Hongqiao Group,China,CHN,Aluminium,No,medium,KYG211501005,B44ZV94,01/12/2024,03/05/2024,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,Yes,No,No,No,01/05/2024,06/05/2024,Aluminium_01/07/2023,,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,,No or unsuitable disclosure,,,No or unsuitable disclosure,No or unsuitable disclosure,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
China International Marine Containers,China,CHN,Industrials,No,large,CNE000000644,6191340,01/12/2024,02/02/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Jushi,China,CHN,Chemicals,No,large,CNE000000YM1,6146845,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
